question_uuid,id,problem,answer
380222,open-rl-combinatorics-247678,"Let $G$ be a graph with vertex set $V(G)$.
Fix an integer $k \ge 1$. A subset $S \subseteq V(G)$ is said to be a $k$-tuple total dominating set if every vertex $v \in V(G)$ has at least $k$ neighbors belonging to $S$, that is,
\[
|N(v)\cap S| \ge k \quad \text{for all } v \in V(G).
\]
The smallest possible size of such a set is called the $k$-tuple total domination number of $G$ and is denoted by $\gamma_{\times k,t}(G)$.
For each integer $n \ge 2$, let $P_n$ denote the path on $n$ vertices and let $C_n$ denote the cycle on $n$ vertices.  The Cartesian product of graphs is denoted by $\square$.
Consider the following three Cartesian products:
\[
E_1 = P_3 \square P_{902}, \qquad
E_2 = C_{512} \square C_{333}, \qquad
E_3 = P_3 \square P_{451}.
\]
Form the weighted sum
\[
\mathcal{W}=
3\,\gamma_{\times 2,t}(E_1)+
\gamma_{\times 2,t}(E_2)-
2\,\gamma_{\times 2,t}(E_3).
\]
What is the remainder when $\mathcal{W}$ is divided by 8676?",2100
496924,imo-bench-algebra-030,"There exists an infinite sequence $x_1, x_2, \ldots$ where each term belongs to $[0, 777]$ such that for all positive integers $m < n$, we have $$(m+n)|x_n^2 - x_m^2| \ge D.$$
Let D denote the maximum value satisfying this condition. What is the remainder when D is divided by 99991?
",3783
b90a38,imo-bench-algebra-055,"Consider a sequence of positive integers $x_1, x_2, \ldots$ satisfying the following condition:
\[
    (x_{2n + d} - x_{n + d} - n)(x_{2n + d} - x_n - n - d) = 0
\]
for all integers $n \ge 32$ and $d \ge 1024$. Find the value of the largest possible positive integer $n$ for which $x_{n + 1} - x_n \neq 1$.",2079
2b14c7,imo-bench-combinatorics-005,"Consider natural numbers whose decimal representations use only the digits from the set {2, 0, 1, 8}, have at most 16 digits, and are divisible by 3. Let C denote the number of such natural numbers. What is the remainder when C is divided by 10000?",5765
19d8d0,imo-2025-problem-3-number_theory,A function $f \colon \NN \to \NN$ is said to be \emph{bonza} if \[ f(a)\quad\text{divides}\quad b^a-f(b)^{f(a)} \] for all positive integers $a$ and $b$. Determine the smallest real constant $c$ such that $f(n) \leq cn$ for all bonza functions $f$ and all positive integers $n$.,4
131968,imo-bench-geometry-003,"Given a convex $n$-sided polygon $B_1\ldots B_n$. Let $Q_i$ ($i = 1,\ldots, n$) be points on the boundary of the polygon such that $B_iQ_i$ divides the area of the polygon in half.  Assume that none of the points $Q_i$ coincide with any vertex of the polygon and that these points lie on $k$ sides of the $n$-sided polygon. For a given value of $n$, determine the minimum possible value of $k$.
",3
2bf7ec,pumac-2025-Q8-geometry,"Let $\triangle ABC$ be a triangle with $AC = 33$, $BC = 16$, $AB = 28$ and incenter $I$.
Let $U$ and $V$ be points on sides $AB$ and $AC$ respectively such that $AU = AV = 20$.
Let $P$ be the reflection of $B$ over $U$ and let $Q$ be the reflection of $C$ over $V$.
The circumcircles of triangles $BIP$ and $CIQ$ intersect at a point $S \ne I$.
Let $M$ be the midpoint of $BC$. Compute the value of $MS^2$.
",1352
8be07b,imo-bench-geometry-044,"Given $PQRS$ is a parallelogram. We know that $\angle S = 60^\circ$, $PS = 2$ and $PQ = \sqrt{3} + 1$. Point $N$ is the midpoint of $PS$. Segment $RE$ is the angle bisector of $R$. Find the angle $REQ$ in terms of degree.
",75
a6c3fd,imo-bench-number_theory-017,"$\alpha$ is a real number that is not rational, and $k$ is a positive integer. A pair of positive integers $(m, n)$ is called ""pretty"" if $m\lceil n\alpha \rceil - n \lfloor m\alpha \rfloor =k$. A pretty pair $(m, n)$ is called ""cool"" if neither $(m-n, n)$ nor $(m, n-m)$ are pretty pairs. Find the number of cool pairs when $k=2310$.
",6912
9f3f0f,stm-2025-p10-geometry,"Let $AFDC$ be a rectangle. Construct points $E$ and $B$ outside of $AFDC$ such that
\[
AB = BC = DE = EF = 45
\]
and $ABCDEF$ is a convex hexagon. Let $\mathcal{E}$ be an inscribed ellipse tangent to sides
$AB, BC, CD, DE, EF, FA$ at points $U, V, W, X, Y,$ and $Z$, respectively.

Points $F_1$ and $F_2$, with $F_1$ closer to $B$, are the foci of $\mathcal{E}$ satisfying
\[
\triangle ABC \cong \triangle F_1WF_2 \cong \triangle DEF.
\]

Let $Q$ be on line $CD$ such that $F_1Y \perp ZQ$. Let the area of quadrilateral $F_1QYZ$ is $S$. What is the remainder when $S^2$ is divided by $3^7$?
",2500
